"","rent","bedrooms","bathrooms","size_sqft","min_to_subway","floor","no_fee","has_roofdeck","has_washer_dryer","has_doorman","has_elevator","has_dishwasher","has_patio","has_gym","submarket_All.Downtown","submarket_All.Midtown","submarket_All.Upper.East.Side","submarket_All.Upper.Manhattan","submarket_All.Upper.West.Side","submarket_Central.Queens","submarket_East.Brooklyn","submarket_North.Brooklyn","submarket_Northeast.Queens","submarket_Northwest.Brooklyn","submarket_Northwest.Queens","submarket_Prospect.Park","submarket_South.Brooklyn","submarket_South.Queens","submarket_The.Rockaways","before_war"
"57",1950,2,1,0.0679281347116268,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"58",9000,2,2,0.749513239482019,13,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",5800,2,2,0.635915722020287,2,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60",3100,1,1,-0.30239977221362,6,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"61",3295,1,1,-1.03396778466717,5,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",1399,0,1,-0.772693494505191,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"63",1799,1,1,-0.613656970058766,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"64",2200,0,1,-1.35204083356002,6,24,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"65",5485,2,1,0.245140261951929,7,24,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",2950,0,1,-0.352382679896782,2,4,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"67",2750,1,1,-0.727254487520498,9,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68",8200,2,2,1.16073625269349,9,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2000,2,1,-0.386461935135302,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
